url,mod_title,mod_description,videos
https://www.coursera.org/learn/computer-networking,The Network Layer,"In the second module of this course, we'll explore the network layer in more depth. We'll learn about the IP addressing scheme and how subnetting works. We'll explore how encapsulation works and how protocols such as ARP allow different layers of the network to communicate. We'll also cover the basics of routing, routing protocols, and how the Internet works. By the end of this module, you'll be able to describe the IP addressing scheme, understand how subnetting works, perform binary math to describe subnets, and understand how the Internet works.","Introduction to The Network Layer;The Network Layer;IPv4 Addresses;IPv4 Datagram and Encapsulation;IPv4 Address Classes;Address Resolution Protocol;Sergio: My career path;Subnetting;Subnet Masks;Basic Binary Math;CIDR;Stay motivated in the program;Basic Routing Concepts;Routing Tables;Interior Gateway Protocols;Exterior Gateways, Autonomous Systems, and the IANA;Non-Routable Address Space;Alex: My success story"
https://www.coursera.org/learn/computer-networking,The Transport and Application Layers,"In the third module of this course, we'll explore the transport and application layers. By the end of this module, you'll be able to describe TCP ports and sockets, identify the different components of a TCP header, show the difference between connection-oriented and connectionless protocols, and explain how TCP is used to ensure data integrity.",Introduction to the Transport and Application Layers;The Transport Layer;Dissection of a TCP Segment;TCP Control Flags and the Three-way Handshake;TCP Socket States;Connection-oriented and Connectionless Protocols;Firewalls;The Application Layer;The Application Layer and the OSI Model;All the Layers Working in Unison;Learner Story: Daniel
https://www.coursera.org/learn/computer-networking,Networking Services,"In the fourth module of this course, we'll explore networking services. We'll learn about why we need DNS and how it works. We'll also show you why DHCP makes network administration a simpler task. By the end of this module, you'll be able to do describe how DNS and DHCP work, how NAT technologies help keep networks secure, and how VPNs and proxies help users connect and stay secured.",Introduction to Network Services;Why do we need DNS?;The Many Steps of Name Resolution;DNS and UDP;Sergio: A journey to the IT field;Resource Record Types;Anatomy of a Domain Name;DNS Zones;Overview of DHCP;DHCP in Action;Basics of NAT;NAT and the Transport Layer;Virtual Private Networks;Proxy Services
https://www.coursera.org/learn/computer-networking,Connecting to the Internet,"In the fifth module of this course, we'll explore the history of the Internet, how it evolved, and how it works today. We'll understand the different ways to connect to the Internet through cables, wireless and cellar connections, and even fiber connections. By the end of this module, you'll be able to define the components of WANs and outline the basics of wireless and cellular networking.",Introduction to Connecting to the Internet;Dial-up and Modems;What is broadband?;T-Carrier Technologies;Digital Subscriber Lines;Cable Broadband;Fiber Connections;Wide Area Network Technologies;Point-to-Point VPNs;Introduction to Wireless Networking Technologies;Wireless Network Configurations;Wireless Channels;Wireless Security;Cellular Networking;Mobile Device Networks
https://www.coursera.org/learn/computer-networking,Troubleshooting and the Future of Networking,"Congratulations, you've made it to the final module in the course! In the last module of this course, we'll explore the future of computer networking. We'll also cover the practical aspects of troubleshooting a network using popular operating systems. By the end of this module, you'll be able to detect and fix a lot of common network connectivity problems using tools available in Microsoft Windows, MacOS, and Linux operating systems.",Introduction to Troubleshooting and the Future of Networking;Ping: Internet Control Message Protocol;Traceroute;Testing Port Connectivity;Name Resolution Tools;Public DNS Servers;DNS Registration and Expiration;Hosts Files;What is The Cloud?;Everything as a Service;Cloud Storage;IPv6 Addressing and Subnetting;IPv6 Headers;IPv6 and IPv4 Harmony;Interview Role Play: Networking;Course Wrap Up;Alex: My career path;Congratulations!
https://www.coursera.org/learn/system-administration-it-infrastructure-services,What is System Administration?,"Welcome to the System Administration course of the IT Support Professional Certificate! In the first module of this course, we will cover the basics of system administration. We'll cover organizational policies, IT infrastructure services, user and hardware provisioning, routine maintenance, troubleshooting, and managing potential issues. By the end of this module, you will understand the roles and responsibilities of a System Administrator. So let's get started!","Course Introduction;What is Systems Administration?;Servers Revisited;The Cloud;Organizational Policies;IT Infrastructure Services;User and Hardware Provisioning;Routine Maintenance;Vendors;Troubleshooting and Managing Issues;In Case of Fire, Break Glass;Dion: My Michelle Obama story ;With Great Power Comes Great Responsibility;Never Test in Production;Assessing Risk;Fixing Things the Right Way"
https://www.coursera.org/learn/system-administration-it-infrastructure-services,Network and Infrastructure Services,"In the second module of this course, we'll learn about network and infrastructure services. We will cover what IT infrastructure services are and what their role is in system administration. We'll also learn about server operating systems, virtualization, network services, DNS for web services, and how to troubleshoot network services. By the end of this module, you will know the most common IT infrastructure services you'll encounter when handling system administration tasks.","What are IT Infrastructure Services?;The Role of IT Infrastructure Services in SysAdmin;Types of IT Infrastructure Services;Heather: My first job in tech;Server Operating Systems;Virtualization;Remote Access Revisited;FTP, SFTP, and TFTP;NTP;Network Support Services Revisited;DNS;DNS for Web Servers;DNS for Internal Networks;DHCP;Unable to Resolve a Hostname or Domain Name;What do Services Look Like in Action;Managing Services in Linux;Managing Services in Windows;Configuring Services in Linux;Configuring Services in Windows;Configuring DNS with Dnsmasq;Configuring DHCP with Dnsmasq"
https://www.coursera.org/learn/system-administration-it-infrastructure-services,Software and Platform Services,"In the third module of this course, we'll explore software and platform services. We'll cover what types of software and platform services you may encounter in a tech role and how to manage them. We'll learn how to configure email services, security services, file services, print services, and platform services. We'll explore ways to troubleshoot platform services and common issues to look out for. By the end of this module, you'll understand how to setup and manage the IT infrastructure services to help a business stay productive, keep information secure, and deliver applications to its users.",Module Introduction;Communication Services;Email Protocols;User Productivity Services: Agreements and Licenses;Web Server Security Protocols;Heather: Managing self-doubt;What are file services?;Network File Storage;Mobile Synchronization;Configuring Print Services;Web Servers Revisited;What is a database server?;Is the website down?;Cloud Concepts;Typical Cloud Infrastructure Setups;When and How to Choose Cloud
https://www.coursera.org/learn/system-administration-it-infrastructure-services,Directory Services,"In the fourth module of this course, we'll learn about directory services. Specifically, we'll cover how two of the most popular directory services, Active Directory and OpenLDAP, work in action. We'll explore the concept of centralized management and how this can help SysAdmins maintain and support all the different parts of an IT infrastructure. By the end of this module, you will know how to add users, passwords, and use group policies in Active Directory and OpenLDAP.",Module Introduction;What is a directory server?;Implementing Directory Services;What is centralized management?;What is LDAP?;What is LDAP Authentication?;Heather: Overcoming obstacles;What is Active Directory?;Managing Active Directory;Managing Active Directory Users and Groups;User Accounts and Groups;Managing Active Directory User Passwords;Joining an Active Directory Domain;Group Policy: Group Policy Object (GPO);Group Policy Creation and Editing;Group Policy Inheritance and Precedence;Group Policy Troubleshooting;Group Policy Troubleshooting: Common Issues;Mobile Device Management (MDM);What is OpenLDAP?;Managing OpenLDAP
https://www.coursera.org/learn/system-administration-it-infrastructure-services,Data Recovery & Backups,"In the fifth module of this course, we'll learn about data recovery and backups. In any tech role, it's important to know how to backup and recover data -- it's even more important for system administration. We will also learn about common corporate practices like designing a disaster recovery plan and writing post-mortem documentation. By the end of this module, you'll know the tradeoffs between on-site and off-site backups, understand the value and importance of backup and recovery testing, know different options for data backup (as well as the risks) and understand the purpose and contents of a disaster recovery plan.",Module Introduction;What is Data Recovery?;Backing Up Your Data;Backup Solutions;Job transition;Testing Backups;Types of Backup;User Backups;What's a Disaster Recovery Plan?;Designing a Disaster Recovery Plan;What's a post-mortem?;Writing a Post-Mortem;Interview Role Play: Sys Admin
https://www.coursera.org/learn/system-administration-it-infrastructure-services,Final Project,"Congratulations, you've made it to the final module in the course! The last module of this course is dedicated to the final project. For the final project, you will apply all the skills you've learned in this course by providing systems administration consultation. You will assess the IT infrastructure of three fictitious (but very real-life based!) companies and provide recommendations and advice about how to support their IT infrastructure. By the end of this project, you will demonstrate the skills and problem-solving techniques of a SysAdmin. Good luck!",Final Project Introduction;Alex: How passion turned into success;Congratulations!
